userEmail,title,description,priority,category,difficulty,dueDate,completed,completedDate,xpReward,isDaily
aria@dailygeon.com,Planificar sprint,,low,work,easy,2026-06-12,TRUE,2026-05-31,10,FALSE
aria@dailygeon.com,Paseo de 30 min,,critical,health,easy,2026-06-06,TRUE,2026-05-29,10,FALSE
aria@dailygeon.com,Preparar la demo,,low,work,normal,2026-06-08,TRUE,2026-05-29,20,FALSE
aria@dailygeon.com,Llamar a la familia,,medium,general,legendary,2026-05-28,FALSE,,100,FALSE
aria@dailygeon.com,Cocinar sano,,low,health,legendary,2026-06-16,TRUE,2026-05-31,100,FALSE
aria@dailygeon.com,Hacer la compra,,low,general,legendary,2026-06-13,FALSE,,100,FALSE
aria@dailygeon.com,Curso de Node,,high,learning,easy,2026-06-13,TRUE,2026-06-01,10,FALSE
aria@dailygeon.com,Leer 20 paginas,,medium,learning,easy,2026-06-13,FALSE,,10,FALSE
aria@dailygeon.com,Curso de Node,,low,learning,easy,2026-05-31,FALSE,,10,FALSE
aria@dailygeon.com,Beber 2L de agua,,low,health,legendary,2026-06-09,FALSE,,100,FALSE
aria@dailygeon.com,Repasar apuntes,,high,learning,normal,2026-05-30,FALSE,,20,TRUE
aria@dailygeon.com,Cerrar el informe,,low,work,legendary,2026-06-07,FALSE,,100,TRUE
bran@dailygeon.com,Revisar emails,,medium,work,normal,2026-06-02,TRUE,2026-06-03,20,TRUE
bran@dailygeon.com,Revisar emails,,critical,work,easy,2026-05-28,FALSE,,10,TRUE
bran@dailygeon.com,Estiramientos,,low,fitness,normal,2026-05-29,TRUE,2026-06-03,20,TRUE
bran@dailygeon.com,Curso de Node,,medium,learning,legendary,2026-06-03,TRUE,2026-05-30,100,FALSE
bran@dailygeon.com,Estiramientos,,medium,fitness,easy,2026-06-02,FALSE,,10,FALSE
bran@dailygeon.com,Cerrar el informe,,low,work,hard,2026-05-30,FALSE,,50,FALSE
bran@dailygeon.com,Practicar ingles,,low,learning,legendary,2026-06-14,FALSE,,100,TRUE
bran@dailygeon.com,Repasar apuntes,,critical,learning,easy,2026-06-05,FALSE,,10,FALSE
bran@dailygeon.com,Curso de Node,,medium,learning,hard,2026-06-03,FALSE,,50,FALSE
bran@dailygeon.com,Preparar la demo,,medium,work,easy,2026-06-11,FALSE,,10,FALSE
bran@dailygeon.com,Estudiar React 1h,,medium,learning,easy,2026-06-16,FALSE,,10,FALSE
bran@dailygeon.com,Cocinar sano,,high,health,legendary,2026-06-11,FALSE,,100,TRUE
bran@dailygeon.com,Revisar emails,,high,work,normal,2026-05-31,TRUE,2026-06-01,20,TRUE
cira@dailygeon.com,Practicar ingles,,medium,learning,legendary,2026-06-10,FALSE,,100,FALSE
cira@dailygeon.com,Practicar ingles,,critical,learning,legendary,2026-06-12,FALSE,,100,FALSE
cira@dailygeon.com,Repasar apuntes,,medium,learning,hard,2026-05-30,FALSE,,50,FALSE
cira@dailygeon.com,Meditar 10 min,,critical,health,easy,2026-06-16,FALSE,,10,TRUE
cira@dailygeon.com,Curso de Node,,medium,learning,normal,2026-06-03,FALSE,,20,FALSE
cira@dailygeon.com,Rutina de fuerza,,critical,fitness,legendary,2026-05-27,FALSE,,100,FALSE
cira@dailygeon.com,Reunion de equipo,,low,work,legendary,2026-06-10,TRUE,2026-05-31,100,FALSE
cira@dailygeon.com,Preparar la demo,,high,work,normal,2026-06-14,FALSE,,20,FALSE
cira@dailygeon.com,Repasar apuntes,,critical,learning,legendary,2026-05-30,TRUE,2026-05-28,100,FALSE
cira@dailygeon.com,Ordenar el cuarto,,critical,general,legendary,2026-05-28,TRUE,2026-05-31,100,TRUE
cira@dailygeon.com,Paseo de 30 min,,high,health,legendary,2026-05-30,TRUE,2026-05-30,100,FALSE
cira@dailygeon.com,Planificar sprint,,medium,work,easy,2026-05-29,TRUE,2026-05-28,10,FALSE
cira@dailygeon.com,Correr 5km,,medium,fitness,legendary,2026-06-08,FALSE,,100,FALSE
cira@dailygeon.com,Rutina de fuerza,,critical,fitness,hard,2026-06-02,TRUE,2026-05-31,50,FALSE
cira@dailygeon.com,Repasar apuntes,,low,learning,hard,2026-06-02,TRUE,2026-05-29,50,TRUE
dorian@dailygeon.com,Ir al gimnasio,,low,fitness,legendary,2026-06-11,FALSE,,100,FALSE
dorian@dailygeon.com,Cocinar sano,,critical,health,easy,2026-06-03,FALSE,,10,FALSE
dorian@dailygeon.com,Hacer la compra,,high,general,normal,2026-05-31,FALSE,,20,FALSE
dorian@dailygeon.com,Meditar 10 min,,high,health,easy,2026-06-11,FALSE,,10,FALSE
dorian@dailygeon.com,100 flexiones,,high,fitness,legendary,2026-05-29,FALSE,,100,FALSE
dorian@dailygeon.com,Ir al gimnasio,,high,fitness,hard,2026-05-30,FALSE,,50,FALSE
dorian@dailygeon.com,Hacer la compra,,high,general,normal,2026-06-15,TRUE,2026-05-31,20,FALSE
dorian@dailygeon.com,Beber 2L de agua,,low,health,normal,2026-06-13,FALSE,,20,TRUE
dorian@dailygeon.com,Dormir 8 horas,,critical,health,hard,2026-06-08,TRUE,2026-05-31,50,FALSE
dorian@dailygeon.com,Cocinar sano,,high,health,easy,2026-05-29,TRUE,2026-06-02,10,FALSE
